ID,Titre,Labels,Description,ExplicationNonTech,CriteresAcceptation,Dependances,WPFeature,PluginsExtensionsWP,Difficulte,Couche
K-SEC-02,Rôles & droits,"[H],[SEC]",RBAC API/front pour sections privées.,Donner l’accès juste nécessaire à chaque profil.,Accès conformes à WP ; journaux d’accès.,,"Profils et permissions (rédacteur, admin, abonné)","WordPress core (Rôles/Capacités), ProfilePress (si utilisé pour rôles/profils)",Moyen,Back-end
K-AN-01,Tagging GTM + GA4 + SC,"[H],[ANALYTICS]",Remplacement Site Kit ; intégration CMP.,Garder nos mesures d’audience (Google Analytics) en respectant les cookies.,Données cohérentes ; aucun tag avant consentement.,K-LEGAL-01,Mesure d’audience et Search Console,"Site Kit by Google (GA4, Search Console)",Moyen,Back-end
K-EMAIL-01,SMTP & logs,"[H],[EMAIL]",Mail transactionnel + journal des envois/erreurs.,S’assurer que les emails partent bien et qu’on peut les retrouver.,Taux d’erreur < 1% ; recherche par destinataire.,K-API-01,Envoi d’emails et journalisation,"WP Mail SMTP, WP Mail Logging",Moyen,Full-stack
K-ML-01,Intégration MailerLite,"[H],[EMAIL]",Webhooks abonnement/achat → listes/segments ; formulaires.,Que les inscriptions et achats mettent à jour automatiquement nos listes emailing.,Événements reçus et segmentations mises à jour.,K-PAY-02 ou K-PAY-04,Formulaires et sync e‑commerce/newsletters,"MailerLite - Signup forms (official), MailerLite - WooCommerce integration",Moyen,Full-stack
K-RSS-01,Flux RSS avec image à la une,"[H],[EDITO]",Compatibilité MailerLite (image en enclosure/Media RSS).,"Les flux RSS incluent l’image principale, utile pour newsletters/outils.",Feed validé et consommé par ML.,K-SEO-05,Flux RSS enrichi (image principale),"Featured Image in RSS Feed by MailerLite, WordPress core (RSS)",Moyen,Front-end
K-DATA-01,Ingestion contenus WP,"[H],[DATA]","Sync via REST/export, normalisation.",Récupérer les articles et pages WP dans le nouveau site automatiquement.,1000+ contenus ingérés ; liens internes réécrits.,K-API-01,Récupération posts/pages/taxonomies et champs ACF,"WordPress REST API, Advanced Custom Fields",Moyen,Back-end
K-DATA-02,Ingestion médias WP,"[H],[DATA]","Récupération URLs, dimensions, alt ; mapping tailles.",Importer les images/fichiers avec leurs légendes.,Échantillon 100% OK.,K-DATA-01,Récupération de la médiathèque et métadonnées,WordPress core (Médias),Moyen,Back-end
K-DATA-03,Ingestion membres/abonnements,"[H],[DATA]",Lecture statuts Woo Memberships/Subscriptions pour gating.,Reconnaître si un lecteur est abonné ou non pour afficher le bon contenu.,20 comptes test reconnus.,K-AUTH-01,Statuts abonnements/members côté Woo,"WooCommerce Memberships, WooCommerce Subscriptions",Difficile,Back-end
K-API-01,API publique (FastAPI),"[H],[INFRA]","Endpoints sécurisés: contenus, médias, recherche, auth.",Le canal par lequel la vitrine récupère les contenus et infos.,Documentation OpenAPI ; latence < 200 ms.,,Source de données pour la vitrine (côté nouveau site),N/A (service propriétaire) — source initiale WordPress REST API,Moyen,Back-end
K-FRONT-01,Squelette vitrine (Next.js SSR),"[H],[EDITO]","Layout, routing, pages Article/Liste/Page, header/footer.",Le nouveau site vitrine visible par les lecteurs.,"Pages stables, navigation clavier.",K-API-01,Affichage public des contenus et menus,"Thème WP actuel (référence visuelle), Ad Widget for WordPress (emplacements pub)",Moyen,Front-end
K-A11Y-01,Accessibilité AA,"[H],[EDITO]","Contrastes, focus, landmarks, lecteur d’écran.",Site lisible et navigable pour tous.,Audit OK ; 0 blocant.,,Accessibilité du front public,N/A (pratique générale),Moyen,Front-end
K-OBS-01,"Logs, metrics, erreurs","[H],[INFRA]",Centralisation (Sentry/Logs) + dashboards.,"Surveiller l’état du site (erreurs, lenteurs) pour intervenir vite.",Alertes en place ; RTO raisonnable.,,Journalisation et supervision (non présente clairement dans WP),"Wordfence (sécurité), WP Mail Logging (emails) — pas d’équivalent complet",Moyen,Back-end
K-QA-01,Staging + canary release,"[H],[EDITO]",Pré‑prod fidèle et déploiements progressifs (feature flags).,Tester sur un site miroir et déployer petit à petit.,Revert possible ; smoke tests.,,Environnement de test et déploiement progressif,"N/A (processus, pas un plugin)",Moyen,Front-end
K-LINK-01,Vérification liens cassés,"[H],[SEO]","Crawler périodique, rapports à la rédaction.",Repérer les liens cassés et les corriger régulièrement.,< 1% de 404 sur échantillon ; plan de correction.,,Détection de liens cassés,Broken Link Checker,Moyen,Full-stack
K-CMS-01,Modèle de contenu,"[R],[EDITO]",Schéma Postgres + blocs éditoriaux (ACF → JSONB/blocs).,Définir la structure de nos contenus pour être souples et cohérents.,20 contenus recréés fidèlement ; export/import ok.,K-API-01,"Champs personnalisés, blocs, gabarits","Advanced Custom Fields, Advanced Custom Fields: Gallery Field",Moyen,Front-end
K-CMS-02,Éditeur,"[R],[EDITO]","Éditeur riche (TinyMCE/TipTap) avec footnotes, TOC, tableaux, embeds.",Un outil d’écriture simple pour créer des articles riches.,Parité avec contenus historiques.,K-CMS-01,Éditeur classique et outils associés,"Advanced Editor Tools, Classic Editor, Easy Footnotes, Table of Contents Plus, WP Table Builder",Moyen,Front-end
K-I18N-03,Traductions natives,"[R],[I18N]","Liaison transversale des langues, slugs par langue, diff.",Gérer les traductions directement dans le nouveau système.,Flux de traduction validé sur 10 pages.,K-CMS-01,Gestion des traductions et médias multilingues,"WPML Multilingual CMS, WPML String Translation, WPML Media, WooCommerce Multilingual & Multicurrency",Moyen,Full-stack
K-ADMIN-01,User Switching,"[H],[EDITO]",Se connecter comme un abonné test (pré‑prod).,Se mettre à la place d’un lecteur pour reproduire un problème.,"Journaux d’audit, accès restreints.",,Bascule d’identité côté admin,User Switching,Moyen,Front-end
K-LEGAL-02,Pages légales,"[H],[LEGAL]","CGU, Politique de confidentialité, Mentions légales à jour.",Avoir des pages obligatoires à jour (juridique).,Conformité vérifiée.,,Pages de mentions légales et politique de confidentialité,"WordPress core (Pages), CookieYes (pour bandeau/consentement)",Moyen,Back-end
